permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
56639,56781,0.030437480439944434,CARLOTZ INC,LOTZ,561499,UPHEALTH INC,UPH,621999
56835,56889,0.05433530015079826,TUSCAN HOLDINGS CORP II,THCA,523910,BLADE AIR MOBILITY INC,BLDE,481219
56930,56931,0.056539878023513,JUNIPER INDUSTRIAL HOLDINGS INC,JIH,523910,BLACKSKY TECHNOLOGY INC,BKSY,523910
56414,56950,0.07354091568980019,LANDSEA HOMES CORP,LSEA,236117,LEAFLY HOLDINGS INC,LFLY,513210
1658,9645,0.07494935120751012,TRUSTMARK CORP,TRMK,522110,COMMUNITY TRUST BANCORP INC,CTBI,522110
6281,16290,0.08496444165761602,1ST SOURCE CORP,SRCE,522110,FIRST BUSEY CORP,BUSE,522110
10421,11950,0.10520935054985078,GREAT SOUTHERN BANCORP INC,GSBC,522110,PEOPLES BANCORP INC,PEBO,522110
8879,18304,0.11455825899620478,FIRST LONG ISLAND CORP,FLIC,522110,LAKELAND BANCORP INC,LBAI,522110
55562,56675,0.1274827739582539,ACACIA COMMUNICATIONS INC,ACIA,517919,LIVEVOX HOLDING INC,LVOX,523910
1940,11371,0.14236844928734693,ARROW FINANCIAL CORP,AROW,522110,FIRST FINANCIAL CORP IN,THFF,522110
3363,30958,0.1480852970271728,OLD REPUBLIC INTERNATIONAL CORP,ORI,524126,HANOVER INSURANCE GROUP INC,THG,524126
8534,44293,0.15503142950300333,F N B CORP PA,FNB,522110,UNIVEST FINANCIAL CORP,UVSP,522110
362,1645,0.15556022890349158,ASSOCIATED BANC CORP,ASB,522110,U S BANCORP DEL,USB,522110
9389,13092,0.15735510787098345,HORIZON BANCORP INC,HBNC,522110,AMERIS BANCORP,ABCB,522110
9280,16107,0.157877585580729,CITY HOLDING CO,CHCO,522110,SOUTHSIDE BANCSHARES INC,SBSI,522110
7676,17665,0.1597915231358436,BRYN MAWR BANK CORP,BMTC,551111,MACATAWA BANK CORP,MCBC,551111
16222,43261,0.16229387215917856,REPUBLIC BANCORP INC KY,RBCAA,522110,WEST BANCORPORATION INC,WTBA,522110
1689,56013,0.1659635209100082,M & T BANK CORP,MTB,522110,R B B BANCORP,RBB,522110
14091,14531,0.1701388442378305,BANNER CORP,BANR,522110,SANDY SPRING BANCORP INC,SASR,522110
4196,44272,0.17050627354191647,SONOCO PRODUCTS CO,SON,322130,GRAPHIC PACKAGING HOLDING CO,GPK,322130
